inventory_id,location,item_code,item_name,quantity,average_rate_usd,value_usd
22874,DEPOT KIWELE,GC102,GC BBC1,0.000,187.55,0.00000
22865,DEPOT KIWELE,GC103,GC BBC2,0.000,111.05,0.00000
22867,DEPOT KIWELE,GC104,GC BELT#3,0.000,52.55,0.00000
22866,DEPOT KIWELE,GC105,GC BELT-New Grade,0.000,102.05,0.00000
22840,DEPOT KIWELE,GC106,GC Big SIze Men 1,0.000,180.05,0.00000
22855,DEPOT KIWELE,GC107,GC Big Size Sports Shoes(1+2),0.000,130.05,0.00000
22824,DEPOT KIWELE,GC108,GC C3,0.000,67.55,0.00000
22825,DEPOT KIWELE,GC109,GC C4,0.000,30.05,0.00000
22826,DEPOT KIWELE,GC110,GC CB1,0.000,195.05,0.00000
22827,DEPOT KIWELE,GC111,GC CB2,0.000,105.05,0.00000
22828,DEPOT KIWELE,GC113,GC CB3,0.000,62.55,0.00000
22873,DEPOT KIWELE,GC117,GC Cream Ladies Shoes,0.000,255.20,0.00000
22861,DEPOT KIWELE,GC118,GC Crocs No.1,0.000,90.05,0.00000
22862,DEPOT KIWELE,GC119,GC Crocs No.2,0.000,52.55,0.00000
22848,DEPOT KIWELE,GC120,GC Golf Men Shoes,0.000,80.05,0.00000
22863,DEPOT KIWELE,GC121,GC Gum Boots Adults,0.000,44.05,0.00000
22870,DEPOT KIWELE,GC122,GC Hand bag A,0.000,90.80,0.00000
22871,DEPOT KIWELE,GC123,GC HB2 (New Grade),0.000,75.05,0.00000
22872,DEPOT KIWELE,GC124,GC HB3,0.000,47.55,0.00000
22836,DEPOT KIWELE,GC125,GC Ladies2-Close,0.000,80.05,0.00000
22838,DEPOT KIWELE,GC126,GC Ladies2-Mix New Grade,0.000,52.55,0.00000
22837,DEPOT KIWELE,GC127,GC Ladies2-Open,0.000,140.05,0.00000
22875,DEPOT KIWELE,GC128,GC Laptop Bags#1,0.000,90.05,0.00000
22876,DEPOT KIWELE,GC129,GC Laptop Bags#2,0.000,30.05,0.00000
22834,DEPOT KIWELE,GC130,GC LHH Bulky Shoes A,0.000,92.55,0.00000
22835,DEPOT KIWELE,GC131,GC LHH Bulky Shoes B,0.000,42.55,0.00000
